# R-105 — S.2 triaged 0.9 tier: 48 DC shelves that won at 0.9 and carry a signal (triage.tsv). Each signal answered.
# The dominant signal is (b) the per-file wrong-relaunch / legacy stamp (Green Lantern 1960, Harley Quinn 2016,
# Injustice Year One, JLA 1960, Legion v3, Nightwing 1996, Power Girl …) — benign every time the shelf's own ladder, years
# and GCD leg agree; (e) big shelves were grepped for New 52 / Rebirth read-order rips (L-365); (c) RANGE CONTRADICTED
# flags were all "stored GCD row is another book" stamps except where noted. Many X-010/X-011 I lines cited a foreign or
# another book's GCD row at 0.7 — restated here with the English trade's own row where `--gcd-issues` shows it.

# --- Green Lantern (2005)
S 64826 cv=18216 gcd=13519 0.9 | signals b (per-file CV 2839, GL 1960, on 91/110) and e (110 files) are benign: the Johns Green Lantern (DC 2005) = CV 18216 (67, cached #1-67) = GCD 13519 (2005-2011, 67); ladder 1-42, 44-59 in "Green Lantern v4 NN" rips, the Oa read-order folders (Blackest Night #43-52, Brightest Day #53-59 — all GL 2005 numbers, dated 2009-2010, no New 52 issue among them) and Vol. 01-10 + Book 04 whose GCD roll-ups are all s13519; #43 joins from S34675 (below); 0.9 for Vol. 11 (War of the Green Lanterns: Aftermath), which collects no issue of this run
F 99533 needs-fetch cv=135660 | CV 135660 "Robin" 2021 is named from the rip only
N 99533 retract X-011's C lines on 69556-69558 (gcd=183398 #1-6 / #7-12 / #13-17): 183398 is the 3-issue collected series; the ranges count in Robin (2021) and are restated below
I 69556 cv=957965 gcd=2384364 isbn=978-1-77951-433-2 0.95 | Vol. 01 The Lazarus Tournament (2022) 174pp = CV 146582 #1 issue 957965 and GCD 183398 #1 row 2384364 (188pp)
C 69556 cv=135660 gcd=172101 #1-6 0.95 | The Lazarus Tournament collects Robin (DC 2021, 17: CV 135660 / GCD 172101) #1-6 per GCD 2384364's notes and roll-up, plus the Batman #106 / Detective #1034 prelude
I 69557 cv=958141 gcd=2434167 isbn=978-1-77951-673-2 0.95 | Vol. 02 I Am Robin (2022) 199pp = CV 146582 #2 issue 958141 and GCD 183398 #2 row 2434167 (212pp)
C 69557 cv=135660 gcd=172101 #7-12 0.95 | I Am Robin collects Robin (DC 2021, 17: CV 135660 / GCD 172101) #7-12 per GCD 2434167's notes, plus the Robin 2021 Annual #1
I 69558 cv=986438 gcd=2509949 isbn=978-1-77951-995-5 0.95 | Vol. 03 Secrets and Shadows (2023) 127pp = CV 146582 #3 issue 986438 and GCD 183398 #3 row 2509949 (140pp)
C 69558 cv=135660 gcd=172101 #13-17 0.95 | Secrets and Shadows collects Robin (DC 2021, 17: CV 135660 / GCD 172101) #13-17 per GCD 2509949's notes and roll-up — the run's last five issues

# --- Secret Six (2008)
S 15276 cv=22841 gcd=31829 0.9 | signal b (per-file CV 22437, the 2006 mini, on 2/6) is benign: floppies #17-18 (Blackest Night read order) and Vol. 02-04 (GCD 90340 rows: s31829 #1-14, #15-24, #25-36 — 14+10+12 = 36) = CV 22841 (DC 2008, 36) = GCD 31829 (2008-2011, 36); 0.9 for Vol. 01 Villains United, one trade of the 2005-2006 minis (residue per the lead's Secret Six ruling)
F 15276 wrong-cv-link | per-file CV 22437 "Secret Six" (DC 2006, 6) is the six-issue 2006 mini, which only Vol. 01 reprints; the run on this shelf is the 2008 ongoing CV 22841
F 15276 needs-fetch cv=22841 | Secret Six (2008) is named from the rip and has no CvVolume row
I 69584 cv=479246 gcd=1430065 isbn=978-1-4012-5075-1 0.95 | Vol. 01 Villains United: CV 80011 issue 479246 (Volume 1: Villains United) and GCD 90340 row #1 1430065 (332pp against our 326pp)
C 69584 cv=18403 gcd=13998 #1-6 0.95 | Vol. 01 collects Villains United (DC 2005, CV 18403 / GCD 13998, 6 issues) #1-6 per GCD's reprint row 1430065
C 69584 cv=22437 gcd=17961 #1-6 0.95 | and Secret Six (DC 2006-2007, CV 22437 / GCD 17961, 6 issues) #1-6 per the same row, plus the Villains United Infinite Crisis Special
I 69585 cv=493029 gcd=1430066 isbn=978-1-4012-5537-4 0.95 | Vol. 02 Money for Murder: CV 80011 issue 493029 (Volume 2) and GCD 90340 row #2 1430066 (340pp against our 336pp; reprints s31829 #1-14)
I 69586 cv=502098 gcd=1466232 isbn=978-1-4012-5861-0 0.95 | Vol. 03 Cat's Cradle: CV 85135 issue 502098 (Volume 3) and GCD 90340 row #3 1466232 (268pp against our 258pp)
I 69587 cv=526029 gcd=1559115 isbn=978-1-4012-6090-3 0.95 | Vol. 04 Caution to the Wind: CV 89803 issue 526029 (Volume 4) and GCD 90340 row #4 1559115 (324pp against our 310pp)

# --- SHAZAM! (2023)
S 94852 cv=150016 gcd=199682 0.95 | signal e (54 files, 39 of them 1pp variants) is benign, and the CV leg is now found: SHAZAM! 001-020 (2023-2025) in "SHAZAM! v4 (2023)" and Vol. 01 Meet the Captain! (GCD 2635536: s199682 #1-6) = CV 150016 "Shazam!" (DC 2023, 21, cached) = GCD 199682 (2023-2025, 21, per-file 52/54), ComicInfo Volume 2023; nothing else on the shelf — raised from 0.9
F 94852 wrong-cv-link | CV per-file matcher stamped the 2018 Shazam! volume (115760) across 51/54 files; the 2023 volume is CV 150016
F 94852 needs-fetch cv=150016 | CV 150016 "Shazam!" 2023 is named from the rip only
I 69605 cv=- gcd=2635536 isbn=978-1-77952-511-6 0.9 | "COL SHAZAM! Vol. 01 - Meet the Captain! (2024)" 137pp = GCD 212662 #1 row 2635536 (2024-06-04, 140pp)
C 69605 cv=150016 gcd=199682 #1-6 0.95 | Meet the Captain! collects Shazam! (DC 2023, 21: CV 150016 / GCD 199682) #1-6 per GCD 2635536's notes and roll-up — the shelf's own run

# --- Shazam!: The World's Mightiest Mortal (2019) — a reprint line over several runs
S 15495 cv=119397 gcd=146022 0.9 | signals b, c and d answered: the line's three volumes collect Shazam! (1973) #1-18 and #19-35 (Vol. 01/02, GCD 1970593 / 2102798 — the per-file CV 2622 on 3/3 is what they reprint) and World's Finest Comics #253-282 + Adventure Comics #491-492 (Vol. 03, GCD 2223432) — several runs, so the line is its own identity (L-109/L-186): CV 119397 (DC 2019, 3) = GCD 146022 (2019-2021, 3); the C #1-18 "of the shelf's own run (count 3)" was a line-volume range and is what signal c flagged; 0.9 for the two-editions flags below
N 15495 retract X-012's `C 69698 cv=119397 gcd=146022 #1-18` (a volume line counts 3, not 18) and the judged #1-18 in the line's numbering; the range counts in Shazam! (1973), restated below
N 15495 flags #141 duplicate-edition and #409 label-ambiguous (item 69700): 69698/69700 and 69699/69701 are two rips of Vol. 01 / Vol. 02 (the second rips sit on another shelf) — not a fourth volume
I 69698 cv=710057 gcd=1970593 isbn=978-1-4012-8839-6 0.95 | Vol. 01 (2019) 349pp = CV 119397 #1 issue 710057 and GCD 146022 #1 row 1970593 (2019-05-29, 360pp)
C 69698 cv=2622 gcd=2106 #1-18 0.95 | Vol. 01 collects Shazam! (DC 1973-1978, 35 issues: CV 2622 / GCD 2106) #1-18 per GCD 1970593's notes and roll-up (63 stories)
I 69699 cv=758958 gcd=2102798 isbn=978-1-77950-117-2 0.95 | Vol. 02 (2020) 322pp = CV 119397 #2 issue 758958 and GCD 146022 #2 row 2102798 (2020-04-08, 336pp)
C 69699 cv=2622 gcd=2106 #19-35 0.95 | Vol. 02 collects Shazam! (DC 1973-1978, 35: CV 2622 / GCD 2106) #19-35 per GCD 2102798's notes, plus All-New Collectors' Edition #C-58
N 69699 it also carries the Legends of Shazam! features from Shazam! #14-17 — features inside Vol. 01's issues, not whole issues, so no second range
I 69763 cv=850401 gcd=2223432 isbn=978-1-77950-946-8 0.95 | "SHAZAM! - The World's Mightiest Mortal (2021)" 342pp = CV 119397 #3 issue 850401 "Vol. 3" and GCD 146022 #3 row 2223432 (2021-05-18, 344pp)
N 69763 Vol. 03 reprints the Shazam! features from World's Finest Comics (CV 18006 / GCD 216) #253-270, #272-282 and Adventure Comics #491-492 — backup features inside anthology issues, gapped, so no C range

# --- The Power of SHAZAM! (1995)
S 19369 cv=5515 gcd=5246 0.9 | signal e (33 files) is benign: The Power of SHAZAM! #20, #24-48 and #1,000,000 (the Oa / One Million read-order files are this run's #41, #48 and #1,000,000) and Book 01-02 = CV 5515 (DC 1995, cached #1-48) = GCD 5246 (1995-2010, 49, per-file 27/33), ComicInfo Count 48; 0.9 for the 1994 graphic novel (69710), its own record
N 19369 Book 02's judged #13-20 (0.6) is short: GCD 2538507's notes say The Worm Turns collects #13-23 + Annual #1 — corrected on its C line below
I 69710 cv=198640 gcd=54216 isbn=1-56389-085-2 0.9 | "The Power of Shazam! (1994)" 95pp = CV 31691 issue 198640 and GCD 4655 row 54216 (1994-01-27, 104pp), the graphic novel that preceded the run
I 69736 cv=794298 gcd=2136544 isbn=978-1-4012-9941-5 0.95 | Book 01 In the Beginning (2020) 398pp = CV 129559 issue 794298 "Book One" and GCD 163097 row 2136544 (416pp)
C 69736 cv=5515 gcd=5246 #1-12 0.95 | In the Beginning collects The Power of Shazam! (DC 1995, 49: CV 5515 / GCD 5246) #1-12 per GCD 2136544's notes, plus the 1994 graphic novel
I 69737 cv=1006563 gcd=2538507 isbn=978-1-77952-174-3 0.95 | Book 02 The Worm Turns (2023) 415pp = CV 152903 issue 1006563 "Book Two" and GCD 200947 row 2538507 (428pp)
C 69737 cv=5515 gcd=5246 #13-23 0.95 | The Worm Turns collects The Power of Shazam! (DC 1995, 49: CV 5515 / GCD 5246) #13-23 per GCD 2538507's notes (+ Annual #1, Showcase '96 #7) — the judged #13-20 was short

# --- Static (1993)
S 16815 cv=5215 gcd=4925 0.9 | signal e (49 files) is benign: Static 001-045 (1993-1997) in "Static v1 (1993)" = CV 5215 (DC 1993, 45) = GCD 4925 (1993-1997, 45); ladder 1-45 complete; 0.9 for the two Milestone-revival trades (one book each of Static: Season One 2021 and Shadows of Dakota 2023, their own records) and two foreign books that leave by split
F 16815 split-needed | 69915 -> join S16896 — "Strange Adventures 010 (1951)" 45pp (folder "Strange Adventures v1 (1950)") is Strange Adventures (1950) #10, S16896's run (cv=1328); 14629 -> "Static (2021)" in its own name — Dark Horse's 117pp Static (GCD 172380 / CV 136076, ComicInfo Publisher Dark Horse), not Milestone's
I 14629 cv=- gcd=2222364 0.9 | the misfiled book's own record: GCD issue 2222364 in series 172380 "Static" (Dark Horse 2021, 1), a different publisher's comic entirely
I 69993 cv=- gcd=2409109 isbn=9781779514219 0.95 | the trade's own record: GCD issue 2409109 in series 185804 "Static: Season One", 208 pages, August 2022
I 69994 cv=- gcd=2607034 isbn=9781779518552 0.95 | the trade's own record: GCD issue 2607034 in series 208616 "Static: Shadows of Dakota", 216 pages, April 2024
